term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0041,0.1757,-31.2961,0,0.0029,0.0057
ai_presence,5.1757,0.4257,3.8621,1e-4,2.34,12.3435
periodpost_adoption,0.2295,0.4295,-3.4265,6e-4,0.0956,0.5122
log_churn,0.8403,0.0388,-4.4876,0,0.7784,0.9062
log_files_changed,8.0398,0.0834,24.9881,0,6.8437,9.4915
log_commits,2.0739,0.0805,9.0647,0,1.7725,2.4301
log_lifetime,0.7107,0.0327,-10.4292,0,0.6661,0.7573
repotriggerdotdev/trigger.dev,0.4588,0.107,-7.2822,0,0.3715,0.5651
log_human_comment_count,1.0968,0.0927,0.9964,0.319,0.9147,1.3157
log_human_reviewer_count,3.516,0.1691,7.4353,0,2.5294,4.9088
is_self_merged,2.4668,0.1017,8.8758,0,2.0228,3.0144
